"","Transitions","Pig_farms_distances","Key"
"Sanmenxia->Guangzhou",0,1273.438,"Sanmenxia->Guangzhou"
"Luohe->Guangzhou",0,1160.656,"Luohe->Guangzhou"
"Xinxiang->Guangzhou",0,1343.224,"Xinxiang->Guangzhou"
"Linyi1->Guangzhou",0,1417.564,"Linyi1->Guangzhou"
"Suzhou->Guangzhou",0,1251.659,"Suzhou->Guangzhou"
"Linyi2->Guangzhou",0,1384.497,"Linyi2->Guangzhou"
"Nanning->Guangzhou",0,412.001,"Nanning->Guangzhou"
"Suqian->Guangzhou",0,1274.178,"Suqian->Guangzhou"
"Chuzhou->Guangzhou",3,1087.105,"Chuzhou->Guangzhou"
"Guangzhou->Sanmenxia",0,1273.438,"Guangzhou->Sanmenxia"
"Luohe->Sanmenxia",0,279.574,"Luohe->Sanmenxia"
"Xinxiang->Sanmenxia",0,261.862,"Xinxiang->Sanmenxia"
"Linyi1->Sanmenxia",0,708.228,"Linyi1->Sanmenxia"
"Suzhou->Sanmenxia",0,539.474,"Suzhou->Sanmenxia"
"Linyi2->Sanmenxia",0,691.349,"Linyi2->Sanmenxia"
"Nanning->Sanmenxia",0,1348.028,"Nanning->Sanmenxia"
"Suqian->Sanmenxia",0,665.886,"Suqian->Sanmenxia"
"Chuzhou->Sanmenxia",1,727.099,"Chuzhou->Sanmenxia"
"Guangzhou->Luohe",0,1160.656,"Guangzhou->Luohe"
"Sanmenxia->Luohe",0,279.574,"Sanmenxia->Luohe"
"Xinxiang->Luohe",0,183.848,"Xinxiang->Luohe"
"Linyi1->Luohe",0,473.722,"Linyi1->Luohe"
"Suzhou->Luohe",0,279.412,"Suzhou->Luohe"
"Linyi2->Luohe",0,450.07,"Linyi2->Luohe"
"Nanning->Luohe",0,1319.595,"Nanning->Luohe"
"Suqian->Luohe",0,401.795,"Suqian->Luohe"
"Chuzhou->Luohe",1,447.732,"Chuzhou->Luohe"
"Guangzhou->Xinxiang",0,1343.224,"Guangzhou->Xinxiang"
"Sanmenxia->Xinxiang",0,261.862,"Sanmenxia->Xinxiang"
"Luohe->Xinxiang",0,183.848,"Luohe->Xinxiang"
"Linyi1->Xinxiang",0,457.399,"Linyi1->Xinxiang"
"Suzhou->Xinxiang",0,319.654,"Suzhou->Xinxiang"
"Linyi2->Xinxiang",0,444.864,"Linyi2->Xinxiang"
"Nanning->Xinxiang",0,1488.16,"Nanning->Xinxiang"
"Suqian->Xinxiang",0,442.044,"Suqian->Xinxiang"
"Chuzhou->Xinxiang",1,557.588,"Chuzhou->Xinxiang"
"Guangzhou->Linyi1",0,1417.564,"Guangzhou->Linyi1"
"Sanmenxia->Linyi1",0,708.228,"Sanmenxia->Linyi1"
"Luohe->Linyi1",0,473.722,"Luohe->Linyi1"
"Xinxiang->Linyi1",0,457.399,"Xinxiang->Linyi1"
"Suzhou->Linyi1",0,206.257,"Suzhou->Linyi1"
"Linyi2->Linyi1",1,33.23,"Linyi2->Linyi1"
"Nanning->Linyi1",0,1670.382,"Nanning->Linyi1"
"Suqian->Linyi1",0,143.653,"Suqian->Linyi1"
"Chuzhou->Linyi1",0,346.363,"Chuzhou->Linyi1"
"Guangzhou->Suzhou",0,1251.659,"Guangzhou->Suzhou"
"Sanmenxia->Suzhou",0,539.474,"Sanmenxia->Suzhou"
"Luohe->Suzhou",0,279.412,"Luohe->Suzhou"
"Xinxiang->Suzhou",0,319.654,"Xinxiang->Suzhou"
"Linyi1->Suzhou",0,206.257,"Linyi1->Suzhou"
"Linyi2->Suzhou",0,177.708,"Linyi2->Suzhou"
"Nanning->Suzhou",0,1480.635,"Nanning->Suzhou"
"Suqian->Suzhou",0,126.506,"Suqian->Suzhou"
"Chuzhou->Suzhou",1,262.77,"Chuzhou->Suzhou"
"Guangzhou->Linyi2",0,1384.497,"Guangzhou->Linyi2"
