"","Transitions","Pig_farms_distances","Transition_Rates","Key"
"Sanmenxia->Guangzhou",0,1273.438,0.1051,"Sanmenxia->Guangzhou"
"Luohe->Guangzhou",0,1160.656,0.0633,"Luohe->Guangzhou"
"Xinxiang->Guangzhou",0,1343.224,0.0724,"Xinxiang->Guangzhou"
"Linyi1->Guangzhou",0,1417.564,0.0809,"Linyi1->Guangzhou"
"Suzhou->Guangzhou",0,1251.659,0.0843,"Suzhou->Guangzhou"
"Linyi2->Guangzhou",0,1384.497,0.0714,"Linyi2->Guangzhou"
"Nanning->Guangzhou",1,412.001,0.0704,"Nanning->Guangzhou"
"Suqian->Guangzhou",0,1274.178,0.0919,"Suqian->Guangzhou"
"Chuzhou->Guangzhou",2,1087.105,0.0714,"Chuzhou->Guangzhou"
"Guangzhou->Sanmenxia",0,1273.438,0.1522,"Guangzhou->Sanmenxia"
"Luohe->Sanmenxia",0,279.574,0.0982,"Luohe->Sanmenxia"
"Xinxiang->Sanmenxia",1,261.862,0.1008,"Xinxiang->Sanmenxia"
"Linyi1->Sanmenxia",0,708.228,0.1017,"Linyi1->Sanmenxia"
"Suzhou->Sanmenxia",0,539.474,0.1379,"Suzhou->Sanmenxia"
"Linyi2->Sanmenxia",0,691.349,0.098,"Linyi2->Sanmenxia"
"Nanning->Sanmenxia",0,1348.028,0.105,"Nanning->Sanmenxia"
"Suqian->Sanmenxia",0,665.886,0.093,"Suqian->Sanmenxia"
"Chuzhou->Sanmenxia",0,727.099,0.098,"Chuzhou->Sanmenxia"
"Guangzhou->Luohe",0,1160.656,0.1224,"Guangzhou->Luohe"
"Sanmenxia->Luohe",0,279.574,0.1309,"Sanmenxia->Luohe"
"Xinxiang->Luohe",0,183.848,0.1758,"Xinxiang->Luohe"
"Linyi1->Luohe",0,473.722,0.1166,"Linyi1->Luohe"
"Suzhou->Luohe",0,279.412,0.1104,"Suzhou->Luohe"
"Linyi2->Luohe",0,450.07,0.1215,"Linyi2->Luohe"
"Nanning->Luohe",0,1319.595,0.1196,"Nanning->Luohe"
"Suqian->Luohe",0,401.795,0.1133,"Suqian->Luohe"
"Chuzhou->Luohe",1,447.732,0.1215,"Chuzhou->Luohe"
"Guangzhou->Xinxiang",0,1343.224,0.1213,"Guangzhou->Xinxiang"
"Sanmenxia->Xinxiang",0,261.862,0.1165,"Sanmenxia->Xinxiang"
"Luohe->Xinxiang",0,183.848,0.1524,"Luohe->Xinxiang"
"Linyi1->Xinxiang",0,457.399,0.0996,"Linyi1->Xinxiang"
"Suzhou->Xinxiang",0,319.654,0.0947,"Suzhou->Xinxiang"
"Linyi2->Xinxiang",0,444.864,0.1022,"Linyi2->Xinxiang"
"Nanning->Xinxiang",0,1488.16,0.1045,"Nanning->Xinxiang"
"Suqian->Xinxiang",0,442.044,0.0966,"Suqian->Xinxiang"
"Chuzhou->Xinxiang",1,557.588,0.1022,"Chuzhou->Xinxiang"
"Guangzhou->Linyi1",0,1417.564,0.1494,"Guangzhou->Linyi1"
"Sanmenxia->Linyi1",0,708.228,0.1295,"Sanmenxia->Linyi1"
"Luohe->Linyi1",0,473.722,0.1114,"Luohe->Linyi1"
"Xinxiang->Linyi1",0,457.399,0.1098,"Xinxiang->Linyi1"
"Suzhou->Linyi1",0,206.257,0.1029,"Suzhou->Linyi1"
"Linyi2->Linyi1",1,33.23,0.1118,"Linyi2->Linyi1"
"Nanning->Linyi1",0,1670.382,0.1109,"Nanning->Linyi1"
"Suqian->Linyi1",0,143.653,0.1052,"Suqian->Linyi1"
"Chuzhou->Linyi1",0,346.363,0.1118,"Chuzhou->Linyi1"
"Guangzhou->Suzhou",0,1251.659,0.1751,"Guangzhou->Suzhou"
