"","Transitions","subsetDgeo","subsetDeff","Transition_Rates","Ori_Pop_Size","Dest_Pop_Size","Key"
"AR->AL",0,12364.5229,6.1148,0.0342196885666238,40117000,2832000,"AR->AL"
"AT->AL",0,809.0447,3.3192,0.0342196885666238,8451860,2832000,"AT->AL"
"AU->AL",0,14725.179,9.0629,0.0342196885666238,22902000,2832000,"AU->AL"
"BD->AL",0,6806.2797,8.2265,0.0342196885666238,142319000,2832000,"BD->AL"
"BG->AL",0,561.1407,5.1458,0.0342196885666238,7284000,2832000,"BG->AL"
"BO->AL",0,10903.8738,8.2838,0.0342196885666238,10624000,2832000,"BO->AL"
"BR->AL",0,9358.7756,5.9467,0.0342196885666238,192400000,2832000,"BR->AL"
"BY->AL",0,1517.2472,5.3844,0.0342196885666238,9460000,2832000,"BY->AL"
"CA->AL",0,8169.9177,6.9027,0.0342196885666238,3.5e+07,2832000,"CA->AL"
"CH->AL",0,1125.0433,5.1697,0.0342196885666238,7952000,2832000,"CH->AL"
"CL->AL",0,12402.0819,7.7831,0.0342196885666238,17402000,2832000,"CL->AL"
"CN->AL",0,7929.1824,7.3049,0.0342196885666238,1347350000,2832000,"CN->AL"
"CO->AL",0,9858.2893,7.6487,0.0342196885666238,47015000,2832000,"CO->AL"
"DE->AL",0,1315.9223,4.0696,0.0342196885666238,80500000,2832000,"DE->AL"
"DK->AL",0,1780.2914,5.5951,0.0342196885666238,5580000,2832000,"DK->AL"
"EC->AL",0,10873.149,7.5703,0.0342196885666238,14483000,2832000,"EC->AL"
"ES->AL",0,2133.3555,4.3637,0.0342196885666238,46185000,2832000,"ES->AL"
"FI->AL",0,2402.6632,6.1743,0.0342196885666238,5408000,2832000,"FI->AL"
"FJ->AL",0,16641.0041,8.3367,0.0342196885666238,861000,2832000,"FJ->AL"
"FR->AL",0,1396.5037,4.3058,0.0342196885666238,65350000,2832000,"FR->AL"
"GB->AL",0,2091.5054,4.2095,0.0342196885666238,62262000,2832000,"GB->AL"
"GF->AL",0,8165.7171,5.9947,0.0342196885666238,224000,2832000,"GF->AL"
"GR->AL",0,593.6679,3.473,0.0342196885666238,10787000,2832000,"GR->AL"
"HK->AL",0,8724.5523,7.8552,0.0342196885666238,7103000,2832000,"HK->AL"
"ID->AL",0,10591.2963,9.8312,0.0342196885666238,237641000,2832000,"ID->AL"
"IN->AL",0,6018.114,7.0215,0.0342196885666238,1210570000,2832000,"IN->AL"
"IS->AL",0,3681.5278,6.6402,0.0342196885666238,320000,2832000,"IS->AL"
"IT->AL",0,646.4,1.6627,0.0342196885666238,59464000,2832000,"IT->AL"
"JP->AL",0,9242.153,6.7555,0.0342196885666238,127300000,2832000,"JP->AL"
"KH->AL",0,8651.0562,8.8211,0.0342196885666238,13396000,2832000,"KH->AL"
"KR->AL",0,8749.8242,8.1213,0.0342196885666238,48580000,2832000,"KR->AL"
"LA->AL",0,8115.2155,8.4811,0.0342196885666238,6256000,2832000,"LA->AL"
"LK->AL",0,7015.3267,7.2956,0.0342196885666238,20653000,2832000,"LK->AL"
"LV->AL",0,1750.6496,6.2006,0.0342196885666238,2070000,2832000,"LV->AL"
"MD->AL",0,956.504,4.7583,0.0342196885666238,3560000,2832000,"MD->AL"
