"","Transitions","subsetDeff","subsetDgeo","Key"
"AR->AL",0,6.1148,12364.5229,"AR->AL"
"AT->AL",0,3.3192,809.0447,"AT->AL"
"AU->AL",0,9.0629,14725.179,"AU->AL"
"BD->AL",0,8.2265,6806.2797,"BD->AL"
"BG->AL",0,5.1458,561.1407,"BG->AL"
"BO->AL",0,8.2838,10903.8738,"BO->AL"
"BR->AL",0,5.9467,9358.7756,"BR->AL"
"BY->AL",0,5.3844,1517.2472,"BY->AL"
"CA->AL",0,6.9027,8169.9177,"CA->AL"
"CH->AL",0,5.1697,1125.0433,"CH->AL"
"CL->AL",0,7.7831,12402.0819,"CL->AL"
"CN->AL",0,7.3049,7929.1824,"CN->AL"
"CO->AL",0,7.6487,9858.2893,"CO->AL"
"DE->AL",0,4.0696,1315.9223,"DE->AL"
"DK->AL",0,5.5951,1780.2914,"DK->AL"
"EC->AL",0,7.5703,10873.149,"EC->AL"
"ES->AL",0,4.3637,2133.3555,"ES->AL"
"FI->AL",0,6.1743,2402.6632,"FI->AL"
"FJ->AL",0,8.3367,16641.0041,"FJ->AL"
"FR->AL",0,4.3058,1396.5037,"FR->AL"
"GB->AL",0,4.2095,2091.5054,"GB->AL"
"GF->AL",0,5.9947,8165.7171,"GF->AL"
"GR->AL",0,3.473,593.6679,"GR->AL"
"HK->AL",0,7.8552,8724.5523,"HK->AL"
"ID->AL",0,9.8312,10591.2963,"ID->AL"
"IN->AL",0,7.0215,6018.114,"IN->AL"
"IS->AL",0,6.6402,3681.5278,"IS->AL"
"IT->AL",0,1.6627,646.4,"IT->AL"
"JP->AL",0,6.7555,9242.153,"JP->AL"
"KH->AL",0,8.8211,8651.0562,"KH->AL"
"KR->AL",0,8.1213,8749.8242,"KR->AL"
"LA->AL",0,8.4811,8115.2155,"LA->AL"
"LK->AL",0,7.2956,7015.3267,"LK->AL"
"LV->AL",0,6.2006,1750.6496,"LV->AL"
"MD->AL",0,4.7583,956.504,"MD->AL"
"MM->AL",0,8.4061,7420.2571,"MM->AL"
"MY->AL",0,7.8695,9559.0715,"MY->AL"
"NL->AL",0,5.0213,1590.8168,"NL->AL"
"NO->AL",0,5.9863,2482.1165,"NO->AL"
"NP->AL",0,8.9765,6057.3966,"NP->AL"
"NZ->AL",0,8.904,17832.4008,"NZ->AL"
"PE->AL",0,7.8117,11118.2424,"PE->AL"
"PH->AL",0,9.3974,10318.8116,"PH->AL"
"PT->AL",0,5.3774,3059.2228,"PT->AL"
"PY->AL",0,7.7909,10854.7426,"PY->AL"
"RO->AL",0,3.9818,578.7259,"RO->AL"
"RS->AL",0,3.3904,265.1395,"RS->AL"
"SE->AL",0,5.8993,2065.6746,"SE->AL"
"SG->AL",0,8.0083,9431.7039,"SG->AL"
"TH->AL",0,6.8381,8278.5293,"TH->AL"
"TW->AL",0,8.94,9121.8422,"TW->AL"
"UA->AL",0,6.0268,1218.1534,"UA->AL"
"US->AL",1,5.5522,9019.2141,"US->AL"
"UY->AL",0,7.5003,11430.5441,"UY->AL"
"VE->AL",0,6.2463,8941.7556,"VE->AL"
"VN->AL",0,8.8017,8712.0424,"VN->AL"
"AL->AR",0,6.1148,12364.5229,"AL->AR"
"AT->AR",0,7.0946,12370.6098,"AT->AR"
"AU->AR",0,6.6693,12070.2132,"AU->AR"
"BD->AR",0,9.6163,17287.2572,"BD->AR"
"BG->AR",0,7.3511,12906.9067,"BG->AR"
"BO->AR",0,2.7559,2353.8549,"BO->AR"
"BR->AR",2,2.0062,3060.8456,"BR->AR"
"BY->AR",0,7.9984,13564.7423,"BY->AR"
"CA->AR",0,4.5092,10190.5176,"CA->AR"
"CH->AR",0,6.3044,11936.859,"CH->AR"
"CL->AR",0,1.6683,816.7659,"CL->AR"
"CN->AR",4,7.3304,19226.1274,"CN->AR"
"CO->AR",0,4.4274,5242.2667,"CO->AR"
"DE->AR",0,5.2103,12331.59,"DE->AR"
"DK->AR",0,6.934,12691.3677,"DK->AR"
"EC->AR",0,5.3305,4302.1513,"EC->AR"
"ES->AR",0,3.1504,10512.1018,"ES->AR"
"FI->AR",0,7.2002,13735.448,"FI->AR"
"FJ->AR",0,5.9431,10975.6397,"FJ->AR"
"FR->AR",0,4.9439,11575.2664,"FR->AR"
"GB->AR",2,5.1206,11825.4634,"GB->AR"
"GF->AR",0,5.6167,4987.0772,"GF->AR"
"GR->AR",0,7.3767,12558.5227,"GR->AR"
"HK->AR",3,7.1532,18235.7316,"HK->AR"
"ID->AR",0,9.1217,15390.6762,"ID->AR"
"IN->AR",0,8.4917,16137.552,"IN->AR"
"IS->AR",0,5.6163,11987.8958,"IS->AR"
"IT->AR",0,4.4521,11920.6439,"IT->AR"
"JP->AR",2,5.6171,18119.4271,"JP->AR"
"KH->AR",0,10.2858,16972.8784,"KH->AR"
"KR->AR",0,6.4852,18802.5923,"KR->AR"
"LA->AR",0,10.1779,17476.336,"LA->AR"
"LK->AR",0,9.1875,15112.5695,"LK->AR"
"LV->AR",0,7.9264,13462.4924,"LV->AR"
"MD->AR",0,7.5476,13305.6873,"MD->AR"
"MM->AR",0,10.1197,17328.3243,"MM->AR"
"MY->AR",0,8.5199,16190.1971,"MY->AR"
"NL->AR",0,6.2792,12117.2436,"NL->AR"
"NO->AR",0,6.8588,13120.9711,"NO->AR"
"NP->AR",0,10.4932,17071.284,"NP->AR"
"NZ->AR",0,5.3237,9342.6244,"NZ->AR"
"PE->AR",0,3.0444,3301.7553,"PE->AR"
"PH->AR",0,7.116,16799.5715,"PH->AR"
"PT->AR",0,5.0214,9864.0623,"PT->AR"
"PY->AR",0,2.1343,1638.8784,"PY->AR"
"RO->AR",0,6.7711,12911.4413,"RO->AR"
"RS->AR",0,8.1724,12567.0546,"RS->AR"
"SE->AR",0,7.0163,13217.5209,"SE->AR"
"SG->AR",1,8.8441,15769.9609,"SG->AR"
"TH->AR",0,8.5517,16917.6461,"TH->AR"
"TW->AR",0,6.5465,18311.8447,"TW->AR"
"UA->AR",0,8.2119,13569.0019,"UA->AR"
"US->AR",6,3.1587,9044.1375,"US->AR"
"UY->AR",0,1.3855,971.7584,"UY->AR"
"VE->AR",0,5.4253,5384.826,"VE->AR"
"VN->AR",0,8.879,17368.0021,"VN->AR"
"AL->AT",0,3.3192,809.0447,"AL->AT"
"AR->AT",0,7.0946,12370.6098,"AR->AT"
"AU->AT",0,7.9105,15137.4859,"AU->AT"
"BD->AT",0,7.545,7157.5044,"BD->AT"
"BG->AT",0,3.2732,1080.7806,"BG->AT"
"BO->AT",0,8.0375,10683.4536,"BO->AT"
"BR->AT",0,5.9222,9315.4038,"BR->AT"
