"","Transitions","subsetDeff","subsetDgeo","Ori_Pop_Size","Dest_Pop_Size","Key"
"AR->AL",0,6.1148,12364.5229,40117000,2832000,"AR->AL"
"AT->AL",0,3.3192,809.0447,8451860,2832000,"AT->AL"
"AU->AL",0,9.0629,14725.179,22902000,2832000,"AU->AL"
"BD->AL",0,8.2265,6806.2797,142319000,2832000,"BD->AL"
"BG->AL",0,5.1458,561.1407,7284000,2832000,"BG->AL"
"BO->AL",0,8.2838,10903.8738,10624000,2832000,"BO->AL"
"BR->AL",0,5.9467,9358.7756,192400000,2832000,"BR->AL"
"BY->AL",0,5.3844,1517.2472,9460000,2832000,"BY->AL"
"CA->AL",0,6.9027,8169.9177,3.5e+07,2832000,"CA->AL"
"CH->AL",0,5.1697,1125.0433,7952000,2832000,"CH->AL"
"CL->AL",0,7.7831,12402.0819,17402000,2832000,"CL->AL"
"CN->AL",0,7.3049,7929.1824,1347350000,2832000,"CN->AL"
"CO->AL",0,7.6487,9858.2893,47015000,2832000,"CO->AL"
"DE->AL",0,4.0696,1315.9223,80500000,2832000,"DE->AL"
"DK->AL",0,5.5951,1780.2914,5580000,2832000,"DK->AL"
"EC->AL",0,7.5703,10873.149,14483000,2832000,"EC->AL"
"ES->AL",0,4.3637,2133.3555,46185000,2832000,"ES->AL"
"FI->AL",0,6.1743,2402.6632,5408000,2832000,"FI->AL"
"FJ->AL",0,8.3367,16641.0041,861000,2832000,"FJ->AL"
"FR->AL",0,4.3058,1396.5037,65350000,2832000,"FR->AL"
"GB->AL",0,4.2095,2091.5054,62262000,2832000,"GB->AL"
"GF->AL",0,5.9947,8165.7171,224000,2832000,"GF->AL"
"GR->AL",0,3.473,593.6679,10787000,2832000,"GR->AL"
"HK->AL",0,7.8552,8724.5523,7103000,2832000,"HK->AL"
"ID->AL",0,9.8312,10591.2963,237641000,2832000,"ID->AL"
"IN->AL",0,7.0215,6018.114,1210570000,2832000,"IN->AL"
"IS->AL",0,6.6402,3681.5278,320000,2832000,"IS->AL"
"IT->AL",0,1.6627,646.4,59464000,2832000,"IT->AL"
"JP->AL",0,6.7555,9242.153,127300000,2832000,"JP->AL"
"KH->AL",0,8.8211,8651.0562,13396000,2832000,"KH->AL"
"KR->AL",0,8.1213,8749.8242,48580000,2832000,"KR->AL"
"LA->AL",0,8.4811,8115.2155,6256000,2832000,"LA->AL"
"LK->AL",0,7.2956,7015.3267,20653000,2832000,"LK->AL"
"LV->AL",0,6.2006,1750.6496,2070000,2832000,"LV->AL"
"MD->AL",0,4.7583,956.504,3560000,2832000,"MD->AL"
"MM->AL",0,8.4061,7420.2571,47963000,2832000,"MM->AL"
"MY->AL",0,7.8695,9559.0715,30017000,2832000,"MY->AL"
"NL->AL",0,5.0213,1590.8168,16838000,2832000,"NL->AL"
"NO->AL",0,5.9863,2482.1165,5009000,2832000,"NO->AL"
"NP->AL",0,8.9765,6057.3966,26621000,2832000,"NP->AL"
"NZ->AL",0,8.904,17832.4008,4434000,2832000,"NZ->AL"
"PE->AL",0,7.8117,11118.2424,30135000,2832000,"PE->AL"
"PH->AL",0,9.3974,10318.8116,92340000,2832000,"PH->AL"
"PT->AL",0,5.3774,3059.2228,10487000,2832000,"PT->AL"
"PY->AL",0,7.7909,10854.7426,6382000,2832000,"PY->AL"
"RO->AL",0,3.9818,578.7259,19043000,2832000,"RO->AL"
"RS->AL",0,3.3904,265.1395,7120000,2832000,"RS->AL"
"SE->AL",0,5.8993,2065.6746,9490000,2832000,"SE->AL"
"SG->AL",0,8.0083,9431.7039,5184000,2832000,"SG->AL"
"TH->AL",0,6.8381,8278.5293,65500000,2832000,"TH->AL"
"TW->AL",0,8.94,9121.8422,23293593,2832000,"TW->AL"
"UA->AL",0,6.0268,1218.1534,45426000,2832000,"UA->AL"
"US->AL",1,5.5522,9019.2141,3.17e+08,2832000,"US->AL"
"UY->AL",0,7.5003,11430.5441,3251000,2832000,"UY->AL"
"VE->AL",0,6.2463,8941.7556,27150000,2832000,"VE->AL"
"VN->AL",0,8.8017,8712.0424,87840000,2832000,"VN->AL"
"AL->AR",0,6.1148,12364.5229,2832000,40117000,"AL->AR"
"AT->AR",0,7.0946,12370.6098,8451860,40117000,"AT->AR"
"AU->AR",0,6.6693,12070.2132,22902000,40117000,"AU->AR"
"BD->AR",0,9.6163,17287.2572,142319000,40117000,"BD->AR"
"BG->AR",0,7.3511,12906.9067,7284000,40117000,"BG->AR"
"BO->AR",0,2.7559,2353.8549,10624000,40117000,"BO->AR"
"BR->AR",2,2.0062,3060.8456,192400000,40117000,"BR->AR"
"BY->AR",0,7.9984,13564.7423,9460000,40117000,"BY->AR"
"CA->AR",0,4.5092,10190.5176,3.5e+07,40117000,"CA->AR"
"CH->AR",0,6.3044,11936.859,7952000,40117000,"CH->AR"
"CL->AR",0,1.6683,816.7659,17402000,40117000,"CL->AR"
"CN->AR",4,7.3304,19226.1274,1347350000,40117000,"CN->AR"
"CO->AR",0,4.4274,5242.2667,47015000,40117000,"CO->AR"
"DE->AR",0,5.2103,12331.59,80500000,40117000,"DE->AR"
"DK->AR",0,6.934,12691.3677,5580000,40117000,"DK->AR"
"EC->AR",0,5.3305,4302.1513,14483000,40117000,"EC->AR"
"ES->AR",0,3.1504,10512.1018,46185000,40117000,"ES->AR"
"FI->AR",0,7.2002,13735.448,5408000,40117000,"FI->AR"
"FJ->AR",0,5.9431,10975.6397,861000,40117000,"FJ->AR"
"FR->AR",0,4.9439,11575.2664,65350000,40117000,"FR->AR"
"GB->AR",2,5.1206,11825.4634,62262000,40117000,"GB->AR"
"GF->AR",0,5.6167,4987.0772,224000,40117000,"GF->AR"
"GR->AR",0,7.3767,12558.5227,10787000,40117000,"GR->AR"
"HK->AR",3,7.1532,18235.7316,7103000,40117000,"HK->AR"
"ID->AR",0,9.1217,15390.6762,237641000,40117000,"ID->AR"
"IN->AR",0,8.4917,16137.552,1210570000,40117000,"IN->AR"
"IS->AR",0,5.6163,11987.8958,320000,40117000,"IS->AR"
"IT->AR",0,4.4521,11920.6439,59464000,40117000,"IT->AR"
"JP->AR",2,5.6171,18119.4271,127300000,40117000,"JP->AR"
"KH->AR",0,10.2858,16972.8784,13396000,40117000,"KH->AR"
"KR->AR",0,6.4852,18802.5923,48580000,40117000,"KR->AR"
"LA->AR",0,10.1779,17476.336,6256000,40117000,"LA->AR"
"LK->AR",0,9.1875,15112.5695,20653000,40117000,"LK->AR"
"LV->AR",0,7.9264,13462.4924,2070000,40117000,"LV->AR"
"MD->AR",0,7.5476,13305.6873,3560000,40117000,"MD->AR"
"MM->AR",0,10.1197,17328.3243,47963000,40117000,"MM->AR"
